"date","description","vendor","amount","currency","primary_tag","work_scope_level","hak_edis_policy","is_hak_edis_eligible","hak_edis_amount","CRM_STATUS","CRM_REVIEW_REQUIRED","HAK_EDIS_AUTO_INFER"
"","Trideck maliyet takibi | Kasa | 87,00 €","","87","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gider toplamı | 2.314.544,00 €","","2314544","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 28.12.2023 | 40.000,00 € | Mimar Baran  | 28.12.2023 | 40.000,00 €","","28122023","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Mobilya söküm işi | 5.01.2024 | 4.375,00 € | 140000tl","","5012024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 9.01.2024 | 14.375,00 € | Kaan | 9.01.2024 | 10.000,00 €","","9012024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Sac kalınlık ölçümü | 16.01.2024 | 492,00 € | 16000tl","","16012024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gas free işlemi | 22.01.2024 | 5.230,00 € | 170000tl","","22012024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Superstructure kesim | 15.02.2024 | 3.058,00 € | 100000tl","","15022024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 15.02.2024 | 5.000,00 € | Yan taraflar kesim | 15.03.2024 | 1.428,00 € | 50000tl","","15022024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Baran'a virman | 20.000,00 € | Baran akalın | 20.000,00 €","","20000","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 15.04.2024 | 20.000,00 € | Tente ön ödeme | 15.04.2024 | 20.000,00 €","","15042024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman (tenteciye) | 19.04.2024 | 9.500,00 € | Tente ön ödeme | 19.04.2024 | 9.500,00 €","","19042024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 25.04.2024 | 10.000,00 € | Motor dairesi sökümü | 30.05.2024 | 8.695,00 € | 300000 tl","","25042024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 10.000,00 € | Tik güverte sökümü | 10.06.2024 | 1.676,00 €","","10000","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tolga akdag'a hangar için | 11.07.2024 | 5.714,00 € | Tolga akdag'a hangar için | 11.07.2024 | 200000tl | 5.714,00 €","","11072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 18.07.2024 | 11.428,00 € | İmalat işçilik ilk grup | 17.07.2024 | 21.714,00 € | 760.000TL","","18072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Sac İzmirden 3850 kg | 17.07.2024 | 3.420,00 €","","17072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Nakliye vinç sac | 17.07.2024 | 314,00 €","","17072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 22.07.2024 | 12.457,00 € | Sac yalovadan 13280 kg | 22.07.2024 | 12.457,00 €","","22072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Yangın tüpü 50kg 6 ad | 22.07.2024 | 1.114,00 € | 39000tl","","22072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Yanmaz kumaş perde 94kgx3€ | 23.07.2024 | 282,00 €","","23072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Liman elektrik su vinç girişi | 23.07.2024 | 935,00 €","","23072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan elden | 31.07.2024 | 6.442,00 € | Havalandırma fanları | 26.07.2024 | 342,00 €","","31072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Tesisat söküm işi | 27.07.2024 | 2.428,00 €","","27072024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 8.106,00 € | 283725tl | 8.106,00 €","","8106","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
"","Gökhan virman | 5.08.2024 | 2.361,00 €","","5082024","EUR","UNCLASSIFIED","CONDITIONAL","CONDITIONAL","","","CONDITIONAL","TRUE","FALSE"
